root_id,flow,super_class,class,sub_class,hemilineage,side,nerve,nt_type,group,nt_type_normalised,cell_type,cell_type_aliases,glomeruli,primary_glomerulus,has_multiple_glomeruli
720575940603231916,intrinsic,central,ALPN,uniglomerular,ALl1_ventral,left,,ACH,AL.MB_CA,ACH,DA1_lPN,aDT3,DA1,DA1,False
720575940603446374,intrinsic,central,ALPN,multiglomerular,ALlv1,right,,ACH,AL,ACH,M_lvPNm47,,,,False
720575940603453286,intrinsic,central,ALPN,multiglomerular,ALad1,right,,ACH,AL.LH,ACH,M_adPNm4a,"M_adPNm5a, M_adPNm4, M_adPNm5",,,False
720575940603464672,intrinsic,central,ALPN,uniglomerular,ALad1__prim,right,,ACH,AL.LH,ACH,VL2a_adPN,,VLA2,VLA2,False
720575940603985952,intrinsic,central,ALPN,uniglomerular,ALad1,left,,ACH,AL.MB_CA,ACH,D_adPN,,,,False
720575940604352172,intrinsic,central,ALPN,uniglomerular,ALad1,right,,ACH,AL.LH,ACH,DA4m_adPN,,DA4m,DA4m,False
720575940604403628,intrinsic,central,ALPN,multiglomerular,ALl1_ventral,right,,ACH,AL,ACH,VP5+_l2PN,VP5+VP2_l2PN,VP5|VP2,VP5,True
720575940604407468,intrinsic,central,ALPN,uniglomerular,ALl1_ventral,right,,ACH,AL.LH,ACH,DA1_lPN,aDT3,DA1,DA1,False
720575940604412588,intrinsic,central,ALPN,multiglomerular,ALl1_ventral,right,,ACH,AL.PLP,ACH,M_lPNm11A,,,,False
720575940604414636,intrinsic,central,ALPN,multiglomerular,ALl1_ventral,left,,ACH,AL,ACH,VP5+_l2PN,VP5+VP2_l2PN,VP5|VP2,VP5,True
720575940604418988,intrinsic,central,ALPN,multiglomerular,putative_primary,right,,ACH,AL.LH,ACH,M_spPN5t10,,DM6,DM6,False
720575940604431584,intrinsic,central,ALPN,uniglomerular,ALad1,left,,ACH,AL.MB_CA,ACH,VA3_adPN,,VA3,VA3,False
720575940604624574,intrinsic,central,ALPN,multiglomerular,ALlv1,right,,ACH,PLP,ACH,M_lvPNm48,,,,False
720575940604911793,intrinsic,central,ALPN,multiglomerular,ALlv1,left,,ACH,PLP,ACH,CB1321,"VP1m+VP2_lvPN1, VP1m+VP2_lvPN2",VPM1|VP2,VPM1,True
