root_id,primary_type,class,nt_type,group,output_neuropils
720575940606648608,,,DA,PLP,AME_L|ATL_L|ATL_R|AVLP_L|GNG|IB_L|IB_R|ICL_L|ICL_R|IPS_L|LH_L|LH_R|LO_L|MB_CA_L|MB_CA_R|MB_PED_L|ME_L|PLP_L|PLP_R|PVLP_L|SAD|SCL_L|SCL_R|SLP_L|SLP_R|SMP_L|SMP_R|WED_L
720575940608176452,,,DA,MB_CA.AL,AL_L|FB|IB_L|ICL_L|LAL_L|MB_CA_L|SMP_L|VES_L
720575940611014570,ATL042,,DA,ATL.IB,ATL_L|ATL_R|IB_L|IB_R|MB_CA_R|PLP_R|SCL_R|SIP_L|SMP_L|SPS_L|SPS_R
720575940615607207,DNc01,,DA,SMP.AL,AL_L|AL_R|AMMC_L|ATL_L|AVLP_L|BU_R|CRE_L|CRE_R|EB|FB|FLA_L|FLA_R|GNG|GOR_L|GOR_R|IB_L|IB_R|ICL_L|ICL_R|IPS_L|IPS_R|LH_L|LH_R|LO_L|MB_CA_L|MB_ML_L|MB_ML_R|ME_L|ME_R|NO|PB|PLP_L|PRW|PVLP_L|SAD|SCL_L|SLP_L|SMP_L|SMP_R|SPS_L|SPS_R|UNASGD|VES_L|VES_R
720575940615953202,PPL107,DAN,DA,SMP,CRE_L|MB_CA_L|MB_ML_L|MB_VL_L|SCL_L|SIP_L|SLP_L|SMP_L
720575940616103099,CB1444,,DA,SCL.AVLP,AVLP_L|AVLP_R|EPA_L|EPA_R|GOR_L|GOR_R|IB_R|ICL_L|ICL_R|MB_CA_R|MB_PED_R|PLP_R|PVLP_L|PVLP_R|SCL_L|SCL_R|SLP_R
720575940617691170,PPL101,DAN,DA,SMP.MB_PED,CRE_L|CRE_R|EB|MB_CA_R|MB_ML_L|MB_ML_R|MB_PED_L|MB_PED_R|MB_VL_R|SCL_L|SCL_R|SIP_R|SMP_R
720575940618130833,PPL203,DAN,DA,LH,ATL_L|LH_L|MB_CA_L|PLP_L|SCL_L|SLP_L|SMP_L
720575940618842929,PAM09,DAN,DA,MB_PED.MB_CA,CRE_R|ICL_R|MB_CA_R|MB_ML_L|MB_ML_R|MB_PED_L|MB_PED_R|MB_VL_L|MB_VL_R|PLP_L|PLP_R|SCL_R|SIP_R
720575940619676224,PPL202,DAN,DA,LH,AVLP_R|CRE_R|IB_R|ICL_R|LH_R|MB_CA_R|PLP_R|PVLP_R|SCL_R|SIP_R|SLP_R|SMP_R|SPS_R
720575940620445605,SMPp&v1B_H01,,DA,SCL.PLP,ICL_L|ICL_R|LH_R|MB_CA_L|MB_CA_R|PLP_L|PLP_R|SCL_L|SCL_R|SLP_L|SLP_R|SMP_L|SPS_R
720575940620488539,SLP438,,DA,SLP,IB_R|ICL_R|LH_R|MB_CA_R|PLP_R|PVLP_R|SCL_R|SLP_R|SPS_R
720575940621040737,PPL101,DAN,DA,SMP.MB_PED,CRE_L|CRE_R|ICL_L|MB_CA_L|MB_ML_L|MB_ML_R|MB_PED_L|MB_PED_R|MB_VL_L|MB_VL_R|SCL_L|SCL_R|SIP_L|SMP_L
720575940621226405,PPL201,DAN,DA,LH.SLP,CRE_L|ICL_L|LH_L|MB_CA_L|PLP_L|SCL_L|SIP_L|SLP_L|SMP_L
720575940621861637,PAM09,DAN,DA,MB_PED,CRE_R|FB|MB_CA_L|MB_CA_R|MB_ML_L|MB_ML_R|MB_PED_L|MB_PED_R|MB_VL_L|MB_VL_R|PLP_L|PLP_R|SCL_R
720575940624442564,PAM09,DAN,DA,MB_PED.MB_ML,ICL_L|MB_CA_L|MB_ML_L|MB_PED_L|MB_VL_L|PLP_L
720575940625926693,PPL201,DAN,DA,SLP,CRE_R|ICL_R|LH_R|MB_CA_R|MB_VL_R|PLP_R|SCL_R|SIP_R|SLP_R|SMP_R
720575940626022074,PPL202,DAN,DA,LH,ATL_L|GOR_L|IB_L|ICL_L|LH_L|MB_CA_L|PLP_L|PVLP_L|SCL_L|SIP_L|SLP_L|SPS_L
720575940626167939,SLP374,,DA,SLP,FB|ICL_L|ICL_R|MB_CA_R|SCL_L|SCL_R|SLP_L|SLP_R|SMP_R
720575940627580702,SLP457,,DA,SLP,ATL_L|ATL_R|LH_R|MB_CA_R|PLP_R|SCL_R|SIP_R|SLP_R|SMP_R
720575940627594568,PPL103,DAN,DA,MB_VL.MB_ML,CRE_L|CRE_R|MB_CA_L|MB_ML_L|MB_ML_R|MB_VL_L|MB_VL_R|SMP_L|SMP_R
720575940628340040,SLP457,,DA,LH.SLP,ATL_L|ATL_R|ICL_L|LH_L|MB_CA_L|PLP_L|SCL_L|SIP_L|SLP_L|SMP_L|SMP_R
720575940628989519,SLP457,,DA,PLP.SLP,ATL_R|LH_R|MB_CA_R|PLP_R|SCL_R|SIP_R|SLP_R|SMP_R
720575940629336631,ATL043,,DA,ATL,ATL_R|IB_R|MB_CA_R|PB|PLP_R|SCL_R|SMP_R|SPS_R
720575940629593585,SLP438,,DA,SLP,IB_L|ICL_L|LH_L|MB_CA_L|PB|PLP_L|SCL_L|SLP_L|SPS_L
720575940630610042,DNp32,,DA,SLP.AL,AL_L|AL_R|AMMC_R|ATL_L|ATL_R|AVLP_R|BU_R|CAN_R|FB|FLA_L|FLA_R|GNG|GOR_R|IB_L|IB_R|ICL_L|ICL_R|IPS_R|LAL_R|LH_R|MB_CA_R|MB_PED_L|MB_PED_R|PLP_R|PRW|PVLP_R|SAD|SCL_L|SCL_R|SIP_R|SLP_L|SLP_R|SMP_L|SMP_R|SPS_R|UNASGD|VES_L|VES_R|WED_R
720575940631745367,PPL102,DAN,DA,SMP.MB_PED,CRE_L|CRE_R|EB|MB_CA_R|MB_ML_L|MB_ML_R|MB_PED_L|SMP_L|SMP_R
720575940631758393,PPL103,DAN,DA,SMP.MB_ML,CRE_L|CRE_R|MB_CA_R|MB_ML_L|MB_ML_R|MB_PED_R|MB_VL_L|MB_VL_R|SMP_R
720575940633356881,SMP145,,DA,SMP.LH,ATL_L|CRE_L|CRE_R|GA_L|ICL_L|IPS_L|LAL_L|LH_L|LH_R|MB_CA_L|MB_CA_R|MB_ML_L|MB_VL_L|PB|PLP_L|PLP_R|PVLP_L|SCL_L|SCL_R|SIP_L|SIP_R|SLP_L|SLP_R|SMP_L|SMP_R|WED_L
720575940646852660,PPL203,DAN,DA,SLP,LH_R|MB_CA_R|MB_PED_R|PLP_R|SCL_R|SIP_R|SLP_R|SMP_R
720575940650929273,DNp32,,DA,SCL.WED,AL_L|AL_R|AMMC_L|AOTU_L|ATL_L|ATL_R|AVLP_L|CAN_L|CRE_L|EPA_L|FB|FLA_L|FLA_R|GNG|GOR_L|IB_L|ICL_L|ICL_R|IPS_L|LAL_L|LH_L|MB_CA_L|MB_ML_L|MB_PED_L|MB_PED_R|MB_VL_L|PLP_L|PRW|PVLP_L|SAD|SCL_L|SCL_R|SIP_L|SIP_R|SLP_L|SMP_L|SMP_R|SPS_L|UNASGD|VES_L|VES_R|WED_L|WED_R
