root_id,primary_type,class,nt_type,group,output_neuropils
720575940604479590,PAM08,DAN,DA,SMP.CRE,CRE_L|CRE_R|MB_ML_L|MB_ML_R
720575940604861356,PAM12,DAN,DA,CRE.MB_ML,CRE_L|CRE_R|MB_ML_L|MB_ML_R
720575940605030316,DSKMP3,,DA,SLP,AVLP_R|ICL_R|LH_R|MB_VL_R|PLP_R|SCL_R|SIP_R|SLP_R|SMP_R
720575940605113376,PAM08,DAN,DA,CRE,CRE_R|MB_ML_R
720575940605280201,PAM08,DAN,DA,CRE.MB_ML,CRE_L|CRE_R|MB_ML_L|MB_ML_R
720575940605891040,PAM11,DAN,DA,MB_PED.MB_ML,CRE_L|CRE_R|MB_ML_L|MB_ML_R|MB_PED_L|MB_PED_R|MB_VL_L|MB_VL_R
720575940606196098,PAM11,DAN,DA,MB_ML,CRE_R|MB_ML_R|MB_PED_R|MB_VL_R
720575940606598089,PAM13,DAN,DA,CRE.MB_ML,CRE_L|MB_ML_L|MB_ML_R
720575940606610976,PAL03,,DA,SMP.AOTU,AOTU_L|AOTU_R|MB_VL_L|SIP_L|SIP_R|SMP_L|SMP_R
720575940606648608,,,DA,PLP,AME_L|ATL_L|ATL_R|AVLP_L|GNG|IB_L|IB_R|ICL_L|ICL_R|IPS_L|LH_L|LH_R|LO_L|MB_CA_L|MB_CA_R|MB_PED_L|ME_L|PLP_L|PLP_R|PVLP_L|SAD|SCL_L|SCL_R|SLP_L|SLP_R|SMP_L|SMP_R|WED_L
720575940606909826,PAM01,DAN,DA,SMP.MB_ML,CRE_R|MB_ML_R|SMP_R
720575940607066123,PAM05,DAN,DA,CRE.MB_ML,CRE_L|CRE_R|MB_ML_L|MB_ML_R
720575940607287561,PAM06,DAN,DA,CRE.MB_ML,CRE_R|EB|MB_ML_L|MB_ML_R
720575940607511900,PAM06,DAN,DA,SMP.MB_ML,CRE_R|EB|MB_ML_L|MB_ML_R
720575940607794443,PAM06,DAN,DA,SMP.MB_ML,CRE_L|CRE_R|MB_ML_L|MB_ML_R
720575940608071435,PAM08,DAN,DA,MB_ML.CRE,CRE_R|MB_ML_R
720575940608140380,4A10,CX,DA,FB,BU_R|CRE_R|FB|GA_R|ICL_L|ICL_R|MB_ML_R|NO|SMP_R
720575940608166748,PAM05,DAN,DA,SMP.MB_ML,CRE_L|CRE_R|MB_ML_L|MB_ML_R
720575940608168028,PAM12,DAN,DA,CRE.MB_ML,CRE_L|CRE_R|MB_ML_L|MB_ML_R
720575940608176452,,,DA,MB_CA.AL,AL_L|FB|IB_L|ICL_L|LAL_L|MB_CA_L|SMP_L|VES_L
720575940608186498,PAM11,DAN,DA,MB_ML,CRE_L|CRE_R|MB_ML_L|MB_ML_R|MB_PED_L|MB_PED_R|MB_VL_L|MB_VL_R
720575940608429835,PAM06,DAN,DA,SMP.MB_ML,CRE_R|MB_ML_L|MB_ML_R
720575940608442633,PAM06,DAN,DA,MB_ML,CRE_R|MB_ML_L|MB_ML_R
720575940609180611,PPL106,DAN,DA,SMP.MB_VL,CRE_R|MB_VL_L|MB_VL_R|SIP_L|SIP_R|SMP_L|SMP_R
720575940609414468,PAM04,DAN,DA,MB_ML,CRE_R|EB|LAL_L|MB_ML_L|MB_ML_R
720575940610181496,PAM12,DAN,DA,CRE.MB_ML,MB_ML_L|MB_ML_R
720575940610430254,PAM07,DAN,DA,MB_PED.MB_ML,CRE_R|MB_ML_R|MB_PED_R
720575940610523746,PAM04,DAN,DA,MB_ML,CRE_L|CRE_R|MB_ML_L|MB_ML_R
720575940610569028,PAM08,DAN,DA,SMP.CRE,CRE_L|CRE_R|MB_ML_L|MB_ML_R|SMP_L
720575940610670250,PFR,CX,DA,FB,FB|MB_ML_L
720575940610877098,PFR,CX,DA,FB,FB|IB_L|ICL_L|MB_ML_R
720575940610941906,PPM1201,,DA,VES.PVLP,AL_R|AVLP_R|FLA_R|GNG|GOR_R|IB_R|ICL_R|LH_R|MB_PED_R|PLP_R|PRW|PVLP_R|SAD|SCL_R|SIP_R|SLP_R|SMP_R|SPS_R|VES_R|WED_R
720575940611014570,ATL042,,DA,ATL.IB,ATL_L|ATL_R|IB_L|IB_R|MB_CA_R|PLP_R|SCL_R|SIP_L|SMP_L|SPS_L|SPS_R
720575940611129698,PAM10,DAN,DA,MB_PED.MB_ML,CRE_L|CRE_R|MB_ML_L|MB_ML_R|MB_PED_R|MB_VL_R|SCL_R
720575940611789810,PAM12,DAN,DA,MB_ML,MB_ML_L
720575940611918578,PAM08,DAN,DA,CRE.MB_ML,CRE_R|MB_ML_R
720575940612302042,SMP145,,DA,SMP.CRE,AL_R|ATL_R|AVLP_R|CRE_L|CRE_R|FLA_R|GA_R|IB_L|IB_R|ICL_R|LAL_R|LH_L|LH_R|MB_ML_L|MB_ML_R|MB_PED_R|MB_VL_R|PB|PLP_R|SCL_L|SCL_R|SIP_L|SIP_R|SLP_R|SMP_L|SMP_R|SPS_L|SPS_R|VES_R|WED_R
720575940612586981,PAM09,DAN,DA,MB_PED.MB_ML,CRE_L|MB_ML_L|MB_PED_L
720575940612623474,PAM08,DAN,DA,CRE.MB_ML,CRE_R|MB_ML_R
720575940612755618,PAM07,DAN,DA,CRE.MB_ML,CRE_R|MB_ML_R|SMP_R
720575940612802479,PAM04,DAN,DA,MB_ML,CRE_L|MB_ML_L|MB_ML_R
720575940612857878,PAM08,DAN,DA,SMP.CRE,CRE_L|CRE_R|MB_ML_L|MB_ML_R|SMP_L
