root_id,primary_type,class,nt_type,group
720575940602605536,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940602815200,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940603050668,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940603084972,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940603642982,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940603673120,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940603674656,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940603688224,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940603721248,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940603751782,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940603984486,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940603988838,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940604050110,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940604132710,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940604318129,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940604402092,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940604466912,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940604500448,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940604509374,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940604557792,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940604576689,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940604620512,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940604626912,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940604630496,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940604766153,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940604770249,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940604806345,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940604833196,KCab,Kenyon_Cell,ACH,MB_CA
720575940604924606,KCab,Kenyon_Cell,ACH,MB_CA.MB_PED
720575940604934572,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940604991264,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605036418,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940605180337,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940605236866,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605246850,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605362610,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940605421670,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605451552,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605491302,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605507249,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940605541920,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940605544370,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605625376,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940605627057,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605705650,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605841074,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605925600,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605985202,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605997257,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605997513,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940606331996,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940606436128,KCab,Kenyon_Cell,ACH,MB_CA.SIP
720575940606452681,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940606454108,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940606483467,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940606483723,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940606549961,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940606675804,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940606687499,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940606700043,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940606725131,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940606745289,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940606747593,KCab,Kenyon_Cell,ACH,MB_CA.MB_PED
720575940606864341,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940606890370,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940606891221,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940606892162,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940606902741,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940606910850,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940606940425,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940606948188,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940606968450,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940607030281,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940607310531,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940607337155,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940607337923,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940607351747,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940607352003,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940607674563,KCab,Kenyon_Cell,ACH,MB_CA
720575940607685571,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940607715420,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940607721923,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940607722179,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940607804939,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940607809547,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940607971908,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940607981636,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940607993668,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940608145877,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940608158677,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940608177988,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940608192860,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940608363844,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940608433476,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940608447241,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940608527299,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940608550409,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940608621614,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940608633134,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940608662574,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940608772821,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940608774776,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940608806776,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940609006200,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940609006712,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940609104579,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940609153746,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940609184210,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940609190866,KCab,Kenyon_Cell,ACH,MB_CA.MB_PED
720575940609200708,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940609347448,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940609405646,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940609573842,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940609634571,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940609684946,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940609781966,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940609836898,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940609871253,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940609940373,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940609941653,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940609970801,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940609979505,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940609999217,KCab,Kenyon_Cell,ACH,MB_CA.MB_PED
720575940610101210,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940610137050,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940610140378,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940610147826,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940610159480,KCab,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940610167987,KCab,Kenyon_Cell,ACH,MB_CA.MB_VL
