root_id,primary_type,class,nt_type,group
720575940603268064,KCab-p,Kenyon_Cell,ACH,SLP.MB_ML
720575940603687084,KCab-p,Kenyon_Cell,ACH,MB_ML
720575940604435046,KCab-p,Kenyon_Cell,ACH,SLP.MB_ML
720575940604505278,KCab-p,Kenyon_Cell,ACH,MB_ML
720575940606579465,KCab-p,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940606698697,KCab-p,Kenyon_Cell,ACH,MB_PED.MB_ML
720575940606851714,KCab-p,Kenyon_Cell,ACH,SCL.MB_ML
720575940607054770,KCab-p,Kenyon_Cell,ACH,MB_PED
720575940607168523,KCab-p,Kenyon_Cell,ACH,SCL.MB_ML
720575940608191836,KCab-p,Kenyon_Cell,ACH,MB_ML.MB_VL
720575940609371086,KCab-p,Kenyon_Cell,ACH,SLP.MB_ML
720575940609676100,KCab-p,Kenyon_Cell,ACH,SLP.MB_ML
720575940610580377,KCab-p,Kenyon_Cell,ACH,MB_ML
720575940610823010,KCab-p,Kenyon_Cell,ACH,MB_CA.MB_PED
720575940610872418,KCab-p,Kenyon_Cell,ACH,SCL.MB_ML
720575940611213774,KCab-p,Kenyon_Cell,ACH,MB_ML
720575940612767126,KCab-p,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940613757224,KCab-p,Kenyon_Cell,ACH,MB_ML
720575940613784574,KCab-p,Kenyon_Cell,ACH,MB_ML
720575940614443788,KCab-p,Kenyon_Cell,ACH,SLP.MB_ML
720575940614562098,KCab-p,Kenyon_Cell,ACH,MB_ML
720575940614792086,KCab-p,Kenyon_Cell,ACH,MB_ML
720575940614842741,KCab-p,Kenyon_Cell,ACH,SLP.MB_ML
720575940614967007,KCab-p,Kenyon_Cell,ACH,SLP.MB_ML
720575940615196063,KCab-p,Kenyon_Cell,ACH,MB_ML
720575940615395414,KCab-p,Kenyon_Cell,ACH,MB_ML
720575940615671494,KCab-p,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940615830877,KCab-p,Kenyon_Cell,ACH,SCL.MB_ML
720575940615832577,KCab-p,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940615904145,KCab-p,Kenyon_Cell,ACH,SCL.MB_ML
720575940616560541,KCab-p,Kenyon_Cell,ACH,SLP.MB_ML
720575940616750363,KCab-p,Kenyon_Cell,ACH,MB_ML
720575940616860318,KCab-p,Kenyon_Cell,ACH,SLP.MB_PED
720575940617143966,KCab-p,Kenyon_Cell,ACH,SCL.MB_ML
