root_id,primary_type,class,nt_type,group
720575940603520172,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940603747616,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940603773798,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940604168224,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.CRE
720575940604304561,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940604319078,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940604483040,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940604985888,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.CRE
720575940605350066,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605441312,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605995209,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940606123698,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940606666953,KCapbp-ap1,Kenyon_Cell,ACH,MB_ML
720575940606680706,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940606694748,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940606783362,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940607168779,KCapbp-ap1,Kenyon_Cell,ACH,MB_ML
720575940608211268,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.CRE
720575940608633045,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940609163986,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940610751129,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940610773171,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.CRE
720575940610784179,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940610921642,KCapbp-ap1,Kenyon_Cell,ACH,MB_ML
720575940610952089,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940611104229,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940611196110,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.CRE
720575940611228462,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940611285454,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940611803490,KCapbp-ap1,Kenyon_Cell,ACH,MB_ML
720575940611812835,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940612372650,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940612432602,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940612723409,KCapbp-ap1,Kenyon_Cell,ACH,MB_ML
720575940612743958,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940612763542,KCapbp-ap1,Kenyon_Cell,ACH,MB_ML
720575940612796786,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940612872173,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940613041123,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940613364461,KCapbp-ap1,Kenyon_Cell,ACH,MB_VL.MB_ML
720575940613507946,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940613690031,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940613776179,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940613776543,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940613929670,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940613978892,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940614180714,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940614240766,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_VL
720575940614263719,KCapbp-ap1,Kenyon_Cell,ACH,MB_CA.MB_ML
