root_id,primary_type,class,nt_type,group
720575940604182374,KCapbp-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940604824236,KCapbp-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605167025,KCapbp-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605449929,KCapbp-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605557438,KCapbp-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605792434,KCapbp-m,Kenyon_Cell,ACH,MB_ML
720575940606433713,KCapbp-m,Kenyon_Cell,ACH,MB_ML
720575940606954763,KCapbp-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940607154955,KCapbp-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940607177739,KCapbp-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940607330499,KCapbp-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940608184156,KCapbp-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940608277852,KCapbp-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940608313301,KCapbp-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940608407305,KCapbp-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940608517385,KCapbp-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940608571145,KCapbp-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940608655918,KCapbp-m,Kenyon_Cell,ACH,MB_ML
720575940608657621,KCapbp-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940609066030,KCapbp-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940609097058,KCapbp-m,Kenyon_Cell,ACH,MB_ML
720575940609143672,KCapbp-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940609171576,KCapbp-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940609651554,KCapbp-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940609921230,KCapbp-m,Kenyon_Cell,ACH,MB_CA.MB_ML
