root_id,primary_type,class,nt_type,group
720575940602829536,KCg-d,Kenyon_Cell,ACH,PLP.MB_ML
720575940603045804,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940604249790,KCg-d,Kenyon_Cell,ACH,SCL.MB_ML
720575940604497888,KCg-d,Kenyon_Cell,ACH,PLP.MB_ML
720575940605199305,KCg-d,Kenyon_Cell,ACH,SCL.MB_ML
720575940605424416,KCg-d,Kenyon_Cell,ACH,PLP.MB_PED
720575940605550950,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940605792946,KCg-d,Kenyon_Cell,ACH,SCL.MB_ML
720575940605829297,KCg-d,Kenyon_Cell,ACH,PLP.MB_ML
720575940606515292,KCg-d,Kenyon_Cell,ACH,SCL.MB_PED
720575940606683915,KCg-d,Kenyon_Cell,ACH,PLP.MB_PED
720575940606691932,KCg-d,Kenyon_Cell,ACH,PLP.MB_PED
720575940606929419,KCg-d,Kenyon_Cell,ACH,PLP.MB_ML
720575940607348931,KCg-d,Kenyon_Cell,ACH,PLP.MB_PED
720575940607520451,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940607623875,KCg-d,Kenyon_Cell,ACH,PLP.MB_ML
720575940607983369,KCg-d,Kenyon_Cell,ACH,PLP.MB_ML
720575940608126386,KCg-d,Kenyon_Cell,ACH,PLP.MB_ML
720575940608312533,KCg-d,Kenyon_Cell,ACH,PLP.MB_ML
720575940608399115,KCg-d,Kenyon_Cell,ACH,SCL.MB_ML
720575940608413193,KCg-d,Kenyon_Cell,ACH,SCL.CRE
720575940609132642,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940609169762,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940609533538,KCg-d,Kenyon_Cell,ACH,PLP.MB_PED
720575940609555922,KCg-d,Kenyon_Cell,ACH,PLP.MB_ML
720575940610353381,KCg-d,Kenyon_Cell,ACH,SCL.MB_ML
720575940610370201,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940610391854,KCg-d,Kenyon_Cell,ACH,PLP.MB_ML
720575940610417893,KCg-d,Kenyon_Cell,ACH,PLP.MB_ML
720575940610505426,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940610658674,KCg-d,Kenyon_Cell,ACH,PLP.MB_PED
720575940610709106,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940611310894,KCg-d,Kenyon_Cell,ACH,PLP.MB_ML
720575940611336726,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940611682739,KCg-d,Kenyon_Cell,ACH,PLP.MB_PED
720575940611930265,KCg-d,Kenyon_Cell,ACH,PLP.MB_ML
720575940612020008,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940612023983,KCg-d,Kenyon_Cell,ACH,PLP.MB_ML
720575940612090321,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940612524030,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940612739186,KCg-d,Kenyon_Cell,ACH,PLP.MB_PED
720575940612980990,KCg-d,Kenyon_Cell,ACH,SCL.MB_ML
720575940613294016,KCg-d,Kenyon_Cell,ACH,PLP.MB_ML
720575940613358658,KCg-d,Kenyon_Cell,ACH,SCL.CRE
720575940613729576,KCg-d,Kenyon_Cell,ACH,MB_CA.CRE
720575940613773890,KCg-d,Kenyon_Cell,ACH,PLP.MB_PED
720575940613797295,KCg-d,Kenyon_Cell,ACH,MB_CA.CRE
720575940613824012,KCg-d,Kenyon_Cell,ACH,PLP.MB_ML
720575940613863903,KCg-d,Kenyon_Cell,ACH,PLP.MB_ML
720575940613955039,KCg-d,Kenyon_Cell,ACH,PLP.MB_ML
720575940614281214,KCg-d,Kenyon_Cell,ACH,SCL.MB_ML
720575940614311842,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940614813526,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940615332674,KCg-d,Kenyon_Cell,ACH,PLP.SMP
720575940615373398,KCg-d,Kenyon_Cell,ACH,PLP.MB_ML
720575940615448793,KCg-d,Kenyon_Cell,ACH,PLP
720575940615476667,KCg-d,Kenyon_Cell,ACH,PLP.MB_PED
720575940615543995,KCg-d,Kenyon_Cell,ACH,PLP.MB_ML
720575940615544249,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940615608123,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940615713292,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940615783837,KCg-d,Kenyon_Cell,ACH,MB_CA.MB_PED
720575940615910228,KCg-d,Kenyon_Cell,ACH,PLP.MB_PED
720575940616076761,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940616284955,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940616295069,KCg-d,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940616305181,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940616442369,KCg-d,Kenyon_Cell,ACH,PLP.MB_PED
720575940616460322,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940616588608,KCg-d,Kenyon_Cell,ACH,PLP.MB_PED
720575940616848192,KCg-d,Kenyon_Cell,ACH,PLP.MB_PED
720575940616885298,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940616902213,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940617036729,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940617150878,KCg-d,Kenyon_Cell,ACH,PLP.MB_PED
720575940617201501,KCg-d,Kenyon_Cell,ACH,PLP.MB_ML
720575940617266833,KCg-d,Kenyon_Cell,ACH,PLP.MB_ML
720575940617293201,KCg-d,Kenyon_Cell,ACH,PLP.MB_PED
720575940617293268,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940617410205,KCg-d,Kenyon_Cell,ACH,PLP.MB_PED
720575940617503974,KCg-d,Kenyon_Cell,ACH,PLP.MB_ML
720575940617576422,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940617672139,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940617696769,KCg-d,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940617931547,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940618110021,KCg-d,Kenyon_Cell,ACH,MB_CA.MB_PED
720575940618163013,KCg-d,Kenyon_Cell,ACH,SCL.MB_ML
720575940618293589,KCg-d,Kenyon_Cell,ACH,PLP.MB_ML
720575940618770230,KCg-d,Kenyon_Cell,ACH,ICL.CRE
720575940618776833,KCg-d,Kenyon_Cell,ACH,PLP.MB_PED
720575940618817182,KCg-d,Kenyon_Cell,ACH,PLP.MB_PED
720575940618903931,KCg-d,Kenyon_Cell,ACH,PLP.MB_PED
720575940618904229,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940619155182,KCg-d,Kenyon_Cell,ACH,PLP.MB_ML
720575940619229037,KCg-d,Kenyon_Cell,ACH,SCL.CRE
720575940619475376,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940619511206,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940619695860,KCg-d,Kenyon_Cell,ACH,PLP
720575940619696660,KCg-d,Kenyon_Cell,ACH,MB_CA.CRE
720575940619722576,KCg-d,Kenyon_Cell,ACH,PLP.MB_ML
720575940619769008,KCg-d,Kenyon_Cell,ACH,SCL.CRE
720575940619813637,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940619825237,KCg-d,Kenyon_Cell,ACH,PLP.MB_ML
720575940619866657,KCg-d,Kenyon_Cell,ACH,PLP.MB_PED
720575940619906987,KCg-d,Kenyon_Cell,ACH,PLP.MB_PED
720575940619949040,KCg-d,Kenyon_Cell,ACH,PLP.MB_PED
720575940619995418,KCg-d,Kenyon_Cell,ACH,PLP.MB_PED
720575940620002036,KCg-d,Kenyon_Cell,ACH,PLP.MB_PED
720575940620004129,KCg-d,Kenyon_Cell,ACH,PLP.MB_PED
720575940620197658,KCg-d,Kenyon_Cell,ACH,PLP.MB_ML
720575940620200709,KCg-d,Kenyon_Cell,ACH,PLP.SMP
720575940620205951,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940620225264,KCg-d,Kenyon_Cell,ACH,MB_CA.CRE
720575940620226729,KCg-d,Kenyon_Cell,ACH,PLP.CRE
720575940620227617,KCg-d,Kenyon_Cell,ACH,PLP.MB_ML
720575940620236270,KCg-d,Kenyon_Cell,ACH,PLP.MB_ML
720575940620347329,KCg-d,Kenyon_Cell,ACH,PLP.SMP
720575940620576494,KCg-d,Kenyon_Cell,ACH,PLP.CRE
