root_id,primary_type,class,nt_type,group
720575940602564320,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940603111392,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940603317216,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940603719712,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940603882720,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940603883232,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940604008672,KCg-m,Kenyon_Cell,ACH,MB_CA
720575940604093984,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_PED
720575940604103200,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940604126129,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_PED
720575940604131296,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940604478176,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_PED
720575940604493024,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940604630240,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940604860332,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940604884396,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940604908972,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940604935340,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940604961126,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940604961894,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940604962918,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_PED
720575940604963686,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940604963942,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940604978534,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940604997152,KCg-m,Kenyon_Cell,ACH,MB_CA.CRE
720575940604999526,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605000550,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605060798,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_PED
720575940605083838,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605171121,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_PED
720575940605180849,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_PED
720575940605184102,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605196465,KCg-m,Kenyon_Cell,ACH,MB_CA.CRE
720575940605197745,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605252041,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605290441,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_PED
720575940605312945,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605338290,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605407846,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_PED
720575940605412738,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_PED
720575940605431840,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605452064,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605488416,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605528422,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605551038,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605551718,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_PED
720575940605552742,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605559986,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605565886,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605597216,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605606274,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605619744,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605620670,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605620926,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_PED
720575940605621024,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605664446,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605664702,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940605934001,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940606009801,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940606195657,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940606335106,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940606341250,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940606347394,KCg-m,Kenyon_Cell,ACH,MB_CA.CRE
720575940606399068,KCg-m,Kenyon_Cell,ACH,MB_CA.CRE
720575940606477660,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940606602674,KCg-m,Kenyon_Cell,ACH,MB_CA.CRE
720575940606621362,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
720575940606662322,KCg-m,Kenyon_Cell,ACH,MB_CA.MB_ML
