root_id,primary_type,class,nt_type,group,input_neuropils
720575940606953858,MBON23,MBON,ACH,MB_VL.SIP,CRE_R|MB_VL_R|SIP_R|SLP_R|SMP_R
720575940607155890,MBON26,MBON,ACH,CRE.LAL,AL_L|AL_R|CRE_R|FLA_R|LAL_L|LAL_R|MB_ML_R|MB_VL_R|NO|SMP_R|VES_L|VES_R
720575940608304220,MBON15-like,MBON,ACH,MB_VL.LH,CRE_R|LH_L|LH_R|MB_PED_R|MB_VL_R|SIP_L|SIP_R|SLP_L|SLP_R|SMP_R
720575940609959637,MBON32,MBON,GABA,SMP.LAL,AL_R|CAN_L|CRE_L|CRE_R|FLA_L|IPS_L|LAL_L|LAL_R|MB_ML_L|MB_VL_L|SMP_L|VES_L|VES_R|WED_L
720575940610647416,MBON10,MBON,GABA,CRE,CRE_R|LAL_R|MB_ML_R|SIP_R|SMP_R
720575940610964946,MBON09,MBON,GABA,MB_ML.CRE,CRE_L|CRE_R|MB_ML_L|MB_ML_R|MB_VL_L|SMP_L|SMP_R
720575940611344078,MBON20,MBON,GABA,CRE.SLP,AVLP_R|CRE_R|GA_R|IB_R|ICL_R|LAL_R|LH_R|MB_ML_R|MB_PED_R|MB_VL_R|NO|PLP_R|PVLP_R|SCL_R|SIP_R|SLP_R|SMP_R|SPS_R|VES_R
720575940612196850,MBON15-like,MBON,ACH,MB_VL.LH,CRE_R|LH_L|LH_R|MB_VL_R|SIP_L|SIP_R|SLP_L|SLP_R|SMP_R
720575940612455338,MBON15,MBON,ACH,CRE,CRE_R|MB_VL_R|SIP_R|SMP_R
720575940614026193,MBON14,MBON,ACH,MB_VL.SMP,MB_ML_R|MB_VL_R|SIP_R|SLP_R|SMP_R
720575940614392999,MBON29,MBON,ACH,SMP,CRE_L|CRE_R|MB_ML_L|MB_ML_R|MB_VL_R|SMP_L|SMP_R
720575940614595218,MBON28,MBON,ACH,SIP.LH,LH_L|LH_R|MB_VL_L|PLP_L|PLP_R|SCL_L|SCL_R|SIP_L|SIP_R|SLP_L|SLP_R|SMP_L|SMP_R
720575940614892182,MBON28,MBON,ACH,MB_VL.LH,CRE_R|LH_L|LH_R|MB_CA_R|MB_VL_R|PLP_L|PLP_R|SIP_L|SIP_R|SLP_L|SMP_L|SMP_R
720575940615221811,MBON10,MBON,GABA,CRE,CRE_R|MB_ML_R|SMP_R
720575940616398303,MBON25,MBON,GLUT,CRE,CRE_L|CRE_R|LAL_L|MB_ML_L|MB_ML_R|MB_PED_R|SMP_L|SMP_R
720575940616463477,MBON22,MBON,ACH,MB_CA.CRE,CRE_L|CRE_R|ICL_L|MB_CA_L|MB_ML_L|MB_ML_R|MB_PED_L|PLP_L|SCL_L|SMP_L|SMP_R
720575940617302365,MBON07,MBON,GLUT,MB_ML.SLP,CRE_L|MB_ML_L|MB_PED_L|MB_VL_L|SIP_L|SLP_L|SMP_L
720575940617552340,MBON02,MBON,GABA,MB_ML.SIP,CRE_L|CRE_R|EB|LAL_L|LAL_R|MB_ML_L|MB_ML_R|SIP_R|SLP_R|SMP_R
720575940617567206,MBON23,MBON,ACH,MB_VL.SIP,CRE_L|MB_VL_L|SIP_L|SLP_L|SMP_L
720575940617749538,MBON11,MBON,GABA,MB_PED.CRE,CRE_L|CRE_R|MB_ML_L|MB_ML_R|MB_PED_L|MB_PED_R|MB_VL_L|MB_VL_R|SCL_R|SIP_L|SIP_R|SMP_L|SMP_R
720575940617760257,MBON17,MBON,ACH,SIP.LH,LH_L|LH_R|MB_VL_R|SIP_L|SIP_R|SLP_L|SLP_R|SMP_R
720575940618008859,MBON30,MBON,GLUT,MB_ML.CRE,CRE_L|CRE_R|LAL_L|MB_ML_L|MB_ML_R|MB_PED_L|MB_VL_L|SMP_L|SMP_R
720575940618249797,MBON27,MBON,ACH,CRE.LAL,AL_L|BU_R|CRE_L|CRE_R|FB|LAL_L|LAL_R|MB_ML_R|SMP_R|VES_L
720575940619810389,MBON25,MBON,GLUT,SMP.CRE,CRE_L|CRE_R|MB_ML_L|MB_PED_L|SMP_L
720575940620464321,MBON04,MBON,GLUT,CRE,CRE_L|CRE_R|EB|MB_ML_R|SCL_L|SIP_L|SLP_L|SMP_L|SMP_R
720575940620715224,MBON21,MBON,ACH,MB_ML.CRE,CRE_L|CRE_R|LAL_L|MB_ML_L|MB_ML_R|NO|SMP_L|SMP_R
720575940621164720,MBON05,MBON,,MB_ML.CRE,CRE_R|MB_ML_R|MB_PED_R|MB_VL_R|SIP_R|SMP_R
720575940621777391,MBON21,MBON,ACH,CRE,CRE_L|CRE_R|FB|LAL_L|MB_ML_L|MB_ML_R|PLP_R|SMP_R
720575940621828443,MBON12,MBON,ACH,MB_VL.SMP,CRE_L|MB_ML_L|MB_VL_L|SMP_L
720575940622093436,MBON15,MBON,ACH,CRE,CRE_R|MB_VL_R|SIP_L|SIP_R|SLP_L|SMP_R
720575940622979277,MBON27,MBON,ACH,CRE.LAL,CRE_L|CRE_R|LAL_L|LAL_R|MB_ML_L|SMP_L|VES_R
720575940622997453,MBON18,MBON,ACH,MB_VL.SIP,CRE_R|LH_L|LH_R|MB_VL_R|SIP_L|SIP_R|SLP_L|SLP_R|SMP_L|SMP_R
720575940623001480,MBON12,MBON,ACH,MB_VL.SMP,AL_R|CRE_R|MB_ML_R|MB_VL_R|SMP_R
720575940623182847,MBON33,MBON,ACH,SMP.CAN,AOTU_L|CAN_L|CRE_L|FLA_L|GNG|IB_L|IPS_L|LAL_L|MB_ML_L|MB_VL_L|SAD|SCL_L|SIP_L|SMP_L|SPS_L|VES_L
