root_id,primary_type,class,nt_type,group
720575940616398303,MBON25,MBON,GLUT,CRE
720575940617302365,MBON07,MBON,GLUT,MB_ML.SLP
720575940618008859,MBON30,MBON,GLUT,MB_ML.CRE
720575940619810389,MBON25,MBON,GLUT,SMP.CRE
720575940620464321,MBON04,MBON,GLUT,CRE
720575940623381956,MBON07,MBON,GLUT,MB_ML.SLP
720575940623750325,MBON25,MBON,GLUT,SMP.MB_PED
720575940624117245,MBON01,MBON,GLUT,MB_ML.SMP
720575940624185095,MBON02,MBON,GLUT,MB_ML.SIP
720575940624489964,MBON25,MBON,GLUT,MB_ML.SMP
720575940624590316,MBON03,MBON,GLUT,MB_ML.CRE
720575940624659943,MBON25,MBON,GLUT,SMP
720575940627144069,MBON25,MBON,GLUT,MB_ML.CRE
720575940628734376,MBON04,MBON,GLUT,CRE.SMP
720575940628783363,MBON07,MBON,GLUT,MB_ML.SLP
720575940629529722,MBON10,MBON,GLUT,CRE
720575940630496374,MBON05,MBON,GLUT,MB_ML
720575940637934308,MBON30,MBON,GLUT,MB_ML.CRE
720575940638028607,MBON06,MBON,GLUT,MB_ML
720575940638163428,MBON06,MBON,GLUT,MB_ML.MB_VL
720575940642142861,MBON10,MBON,GLUT,SMP.CRE
720575940643309197,MBON01,MBON,GLUT,MB_ML.SMP
720575940652390134,MBON07,MBON,GLUT,MB_ML.SLP
