pre_root_id,post_root_id,neuropil,syn_count,nt_type
720575940618295454,720575940625692560,MB_CA_L,19,ACH
720575940630549370,720575940613987635,MB_CA_R,7,ACH
720575940614316731,720575940627429909,MB_CA_L,5,ACH
720575940608293129,720575940604008672,MB_CA_R,9,ACH
720575940623528925,720575940613793602,MB_CA_L,23,ACH
720575940618308825,720575940612924054,MB_CA_L,14,ACH
720575940623945404,720575940617176413,MB_CA_R,17,ACH
720575940619071005,720575940629332606,MB_CA_R,10,ACH
720575940628739560,720575940612458211,MB_CA_L,19,ACH
720575940634325087,720575940627021128,MB_CA_R,21,ACH
720575940621185050,720575940623699207,MB_CA_L,15,ACH
720575940640697808,720575940629899511,MB_CA_L,17,ACH
720575940642492576,720575940629166587,MB_CA_R,9,ACH
720575940619637780,720575940615901597,MB_CA_R,14,ACH
720575940630770042,720575940618112459,MB_CA_L,23,ACH
720575940622287142,720575940618765528,MB_CA_R,14,ACH
720575940617917760,720575940631667937,MB_CA_R,23,ACH
720575940618308825,720575940631687332,MB_CA_L,19,ACH
720575940623902471,720575940612450730,MB_CA_R,20,ACH
720575940619071005,720575940617908820,MB_CA_R,27,ACH
720575940618277184,720575940639593587,MB_CA_R,8,ACH
720575940621696747,720575940610743282,MB_CA_R,10,ACH
720575940623444715,720575940613741864,MB_CA_L,23,ACH
720575940629926159,720575940649024633,MB_CA_L,13,ACH
720575940623528925,720575940607900867,MB_CA_L,5,ACH
720575940617668747,720575940622474165,MB_CA_L,23,ACH
720575940622726271,720575940637211462,MB_CA_R,33,ACH
720575940623913364,720575940618339777,MB_CA_R,5,ACH
720575940623303108,720575940620274497,MB_CA_R,19,ACH
720575940627480586,720575940626937630,MB_CA_L,15,ACH
720575940638633535,720575940611592154,MB_CA_L,5,ACH
720575940622734835,720575940640006528,MB_CA_L,12,ACH
720575940642086389,720575940621873246,MB_CA_R,14,ACH
720575940637943374,720575940646034740,MB_CA_R,18,ACH
720575940638633535,720575940623536205,MB_CA_L,27,ACH
720575940624941244,720575940625939801,MB_CA_R,17,ACH
720575940630549370,720575940615456985,MB_CA_R,25,ACH
720575940625784153,720575940638143805,MB_CA_L,24,ACH
720575940630770042,720575940608564233,MB_CA_L,19,ACH
720575940624515571,720575940630452495,MB_CA_L,17,ACH
720575940617207185,720575940627808232,MB_CA_L,16,ACH
720575940625564676,720575940615907997,MB_CA_R,20,ACH
720575940639680957,720575940624547622,MB_CA_L,11,ACH
720575940630024566,720575940626689176,MB_CA_L,18,ACH
720575940615366055,720575940606864341,MB_CA_R,22,ACH
720575940639080765,720575940627986220,MB_CA_R,16,ACH
