odor,reward,mbon_output,veto_value,gating_factor,rpe,dopamine,weight_change_magnitude
DL3,1.0,9.938369422873606e-05,0.0,1.0,0.6860965474049346,0.6860965474049346,8.606242861480381e-05
DA1,1.0,0.04713896857641103,1.0,0.0,0.7174397536958648,0.7174397536958648,0.0
DL3,1.0,0.00010195472872877973,0.0,1.0,0.7456956763715497,0.7456956763715497,9.59582294159213e-05
DA1,1.0,0.04713905911946239,1.0,0.0,0.7710789696752752,0.7710789696752752,0.0
DL3,1.0,0.00010482139101524233,0.0,1.0,0.7939709678863567,0.7939709678863567,0.0001050431576882736
DA1,1.0,0.04713915823475536,1.0,0.0,0.8145267319394863,0.8145267319394863,0.0
DL3,1.0,0.00010795945703030733,0.0,1.0,0.8330739507860806,0.8330739507860806,0.00011351610314263731
DA1,1.0,0.047139265344842946,1.0,0.0,0.8497194164421277,0.8497194164421277,0.0
DL3,1.0,0.00011135064436010607,0.0,1.0,0.8647473634472705,0.8647473634472705,0.00012153327707701925
DA1,1.0,0.047139380019674014,1.0,0.0,0.8782254877225238,0.8782254877225238,0.0
DL3,1.0,0.00011498133725708332,0.0,1.0,0.8904028239689342,0.8904028239689342,0.00012921921889086826
DA1,1.0,0.04713950194670877,1.0,0.0,0.9013154020700941,0.9013154020700941,0.0
DL3,1.0,0.00011884164047167289,0.0,1.0,0.9111837430214442,0.9111837430214442,0.00013667460524932672
DA1,1.0,0.0471396309084026,1.0,0.0,0.9200182290883914,0.9200182290883914,0.0
DL3,1.0,0.00012292466637544593,0.0,1.0,0.9280162832548859,0.9280162832548859,0.0001439818874109836
DA1,1.0,0.04713976676500922,1.0,0.0,0.9351675151626324,0.9351675151626324,0.0
DL3,1.0,0.00012722599049414923,0.0,1.0,0.9416506364203787,0.9416506364203787,0.00015120942865402392
DA1,1.0,0.04713990944128772,1.0,0.0,0.9474384328688996,0.9474384328688996,0.0
DL3,1.0,0.000131743230642477,0.0,1.0,0.952694457838779,0.952694457838779,0.0001584145891664895
DA1,1.0,0.04714005891612037,1.0,0.0,0.9573778719959851,0.9573778719959851,0.0
DL3,1.0,0.00013647571821705172,0.0,1.0,0.9616399483206685,0.9616399483206685,0.00016564606078330523
DA1,1.0,0.04714021521433347,1.0,0.0,0.9654288132733873,0.9654288132733873,0.0
DL3,1.0,0.0001414242392374885,0.0,1.0,0.9688857905218093,0.9688857905218093,0.00017294565893709554
DA1,1.0,0.047140378400208974,1.0,0.0,0.9719500710912282,0.9719500710912282,0.0
DL3,1.0,0.00014659082892031291,0.0,1.0,0.9747549173912765,0.9747549173912765,0.00018034971604857187
DA1,1.0,0.04714054857231096,1.0,0.0,0.9772322851035766,0.9772322851035766,0.0
DL3,1.0,0.00015197860787911154,0.0,1.0,0.9795089046146112,0.9795089046146112,0.00018789017806921589
DA1,1.0,0.047140725859346644,1.0,0.0,0.9815108734272907,0.9815108734272907,0.0
DL3,1.0,0.0001575916510828703,0.0,1.0,0.9833596284929106,0.9833596284929106,0.00019559547690295898
DA1,1.0,0.04714091041685066,1.0,0.0,0.9849765247332027,0.9849765247332027,0.0
DL3,1.0,0.00016343488287709246,0.0,1.0,0.9864787088249997,0.9864787088249997,0.00020349123142654287
DA1,1.0,0.047141102424530776,1.0,0.0,0.9877836968400752,0.9877836968400752,0.0
DL3,1.0,0.00016951399294724465,0.0,1.0,0.9890051576420746,0.9890051576420746,0.00021160081584972355
DA1,1.0,0.047141302084149905,1.0,0.0,0.990057500575783,0.990057500575783,0.0
DL3,1.0,0.00017583536926143154,0.0,1.0,0.9910515746828354,0.9910515746828354,0.00021994582426985163
DA1,1.0,0.04714150961784643,1.0,0.0,0.9918992757049341,0.9918992757049341,0.0
DL3,1.0,0.00018240604489120404,0.0,1.0,0.9927091657283958,0.9927091657283958,0.0002285464531958084
DA1,1.0,0.04714172526681552,1.0,0.0,0.9933911074302895,0.9933911074302895,0.0
DL3,1.0,0.00018923365625991172,0.0,1.0,0.9940518074536043,0.9940518074536043,0.00023742181868287117
DA1,1.0,0.047141949290289635,1.0,0.0,0.9945994847589537,0.9945994847589537,0.0
DL3,1.0,0.00019632641086516302,0.0,1.0,0.9951393399566475,0.9951393399566475,0.0002465902209504433
DA1,1.0,0.04714218196476869,1.0,0.0,0.9955782637790179,0.9955782637790179,0.0
DL3,1.0,0.000203693062906492,0.0,1.0,0.9960202337080533,0.9960202337080533,0.00025606936655112034
DA1,1.0,0.04714242358345995,1.0,0.0,0.9963710679136646,0.9963710679136646,0.0
DL3,1.0,0.0002113428955501179,0.0,1.0,0.9967337497794027,0.9967337497794027,0.0002658765560483756
DA1,1.0,0.04714267445589492,1.0,0.0,0.9970132321270065,0.9970132321270065,0.0
DL3,1.0,0.00021928570880040037,0.0,1.0,0.9973116896285971,0.9973116896285971,0.00027602884355076466
DA1,1.0,0.04714293490769682,1.0,0.0,0.9975333777308296,0.9975333777308296,0.0
DL3,1.0,0.00022753181213722975,0.0,1.0,0.9977798124259345,0.9977798124259345,0.0002865431732092871
DA1,1.0,0.04714320528047679,1.0,0.0,0.9979546879780606,0.9979546879780606,0.0
